Date,IEFA,IEMG,IJH,IJR,IVV,IWF,IWM,QQQ,RSP,SCHD,SPY,VEA,VGT,VIG,VO,VOO,VTI,VTV,VUG,VWO,VXUS,XLE,XLF,XLG,XLK
2015-06-29,44.38441848754883,36.66019821166992,25.861268997192383,51.017555236816406,175.0889434814453,89.69538116455078,109.14407348632812,99.19022369384766,67.7301025390625,10.923120498657227,174.19810485839844,29.902467727661133,95.65779876708984,65.20340728759766,108.7747573852539,159.1355438232422,90.65779876708984,65.12916564941406,97.56767272949219,30.386383056640625,37.84723663330078,50.55252456665039,16.423324584960938,12.3013334274292,36.83303451538086
2015-06-30,44.285675048828125,37.16303253173828,25.918298721313477,51.09992980957031,175.5039520263672,90.05007934570312,109.6534423828125,99.54354095458984,67.90032958984375,10.914569854736328,174.56272888183594,29.857276916503906,95.84727478027344,65.2116928100586,109.32379150390625,159.54946899414062,90.90412902832031,65.19174194335938,98.03468322753906,30.793136596679688,37.86228561401367,50.90470886230469,16.48418426513672,12.317875862121582,36.86864471435547
2015-07-01,44.58952713012695,37.21717834472656,25.997787475585938,51.34701919555664,176.87594604492188,90.82318115234375,109.97838592529297,100.33377075195312,68.32575225830078,10.988683700561523,175.96194458007812,30.053070068359375,96.3615951538086,65.85066986083984,109.81282806396484,160.75767517089844,91.49873352050781,65.70006561279297,98.7581558227539,30.793136596679688,38.05036163330078,50.25449752807617,16.734346389770508,12.392740249633789,37.118003845214844
2015-07-02,44.61231231689453,37.36416244506836,25.958045959472656,51.01323318481445,176.66419982910156,90.71184539794922,109.16613006591797,100.36166381835938,68.30020904541016,10.985833168029785,175.80088806152344,30.128368377685547,96.44280242919922,65.8009262084961,109.75276184082031,160.63941955566406,91.37982177734375,65.614013671875,98.73067474365234,30.936262130737305,38.140647888183594,50.47800827026367,16.659975051879883,12.400577545166016,37.17143249511719
2015-07-06,43.693180084228516,36.26567459106445,25.878555297851562,50.93087387084961,176.19842529296875,90.5384292602539,109.13085174560547,100.12922668457031,67.99390411376953,10.945923805236816,175.3004913330078,29.510889053344727,96.04578399658203,65.63493347167969,109.31520080566406,160.1747283935547,91.14196014404297,65.31684112548828,98.49258422851562,30.07754898071289,37.3357048034668,49.81426239013672,16.592365264892578,12.360528945922852,37.02003860473633
2015-07-07,43.71596908569336,35.64680099487305,25.9995174407959,51.00456237792969,177.28256225585938,91.07691192626953,109.25432586669922,100.3802719116211,68.55550384521484,11.054244995117188,176.4029541015625,29.503372192382812,96.06378173828125,66.24903869628906,110.07877349853516,161.16329956054688,91.64313507080078,65.79389953613281,99.01457977294922,29.618061065673828,37.222869873046875,50.268062591552734,16.62616539001465,12.415375709533691,37.0734748840332
2015-07-08,42.67528533935547,34.378116607666016,25.6348876953125,50.3326530456543,174.2928009033203,89.58922576904297,107.58745574951172,98.6324234008789,67.33870697021484,10.911717414855957,173.44337463378906,28.787992477416992,94.43974304199219,65.33619689941406,108.01117706298828,158.42579650878906,90.11418914794922,64.7381362915039,97.28377532958984,28.525827407836914,36.237369537353516,49.25211715698242,16.335432052612305,12.245622634887695,36.467891693115234
2015-07-09,43.35134506225586,35.128509521484375,25.65216827392578,50.44537353515625,174.60614013671875,89.75350952148438,107.97550964355469,98.57664489746094,67.50040435791016,10.911717414855957,173.7571258544922,29.254858016967773,94.23220825195312,65.4772720336914,108.3028793334961,158.7130584716797,90.30106353759766,64.88672637939453,97.40280151367188,29.105846405029297,36.80157470703125,49.50270462036133,16.463897705078125,12.305686950683594,36.32541275024414
2015-07-10,44.69586944580078,36.01811981201172,25.918298721313477,51.130287170410156,176.83364868164062,90.99476623535156,109.47479248046875,100.08275604248047,68.23217010498047,11.02288818359375,175.9449920654297,30.143436431884766,95.63074493408203,66.1826400756836,109.52112579345703,160.73239135742188,91.39680480957031,65.614013671875,98.79476928710938,29.926902770996094,37.817161560058594,49.77362823486328,16.659975051879883,12.445843696594238,36.90427017211914
2015-07-13,44.86298370361328,36.29661178588867,26.15159034729004,51.53776550292969,178.78160095214844,92.19036865234375,110.70950317382812,101.83988952636719,68.9213638305664,11.142609596252441,177.88693237304688,30.271442413330078,97.03826904296875,66.8714599609375,110.67073822021484,162.53195190429688,92.4330825805664,66.23967742919922,100.03111267089844,30.115205764770508,37.982669830322266,50.125831604003906,16.86281394958496,12.593831062316895,37.46531295776367
