Date,AGG,BIL,BND,EDV,IEF,IEI,SGOV,SHV,SHY,TLH,TLT,VGIT
2023-02-02,94.30548095703125,83.09821319580078,69.8501205444336,84.89752960205078,93.61443328857422,111.52149200439453,90.99600982666016,100.1033935546875,76.46869659423828,107.3877182006836,100.81108856201172,56.47571563720703
2023-02-03,93.39787292480469,83.11640167236328,69.23190307617188,83.50007629394531,92.60942840576172,110.67826843261719,91.00508880615234,100.08523559570312,76.18824005126953,105.86909484863281,99.30337524414062,56.00569534301758
2023-02-06,92.88327026367188,83.12545776367188,68.8010025024414,82.78764343261719,91.81107330322266,109.90139770507812,91.00508880615234,100.08523559570312,75.97322082519531,104.94309997558594,98.56815338134766,55.60150146484375
2023-02-07,92.72420501708984,83.13457489013672,68.70733642578125,81.76467895507812,91.58565521240234,109.86351013183594,91.02327728271484,100.09434509277344,76.0106201171875,104.36897277832031,97.77706146240234,55.54510498046875
2023-02-08,92.85519409179688,83.13457489013672,68.82913208007812,82.17570495605469,91.92379760742188,110.05300903320312,91.03236389160156,100.11253356933594,76.0386734008789,104.66529083251953,98.2424087524414,55.67670822143555
2023-02-09,92.49029541015625,83.1618423461914,68.54811096191406,81.1435775756836,91.51051330566406,109.74981689453125,91.06871032714844,100.14894104003906,75.98258209228516,104.0263442993164,97.31172943115234,55.49810791015625
2023-02-10,92.08795166015625,83.1709213256836,68.25772857666016,79.92881774902344,91.06908416748047,109.47506713867188,91.07780456542969,100.14894104003906,75.9451675415039,103.09110260009766,96.22281646728516,55.32889938354492
2023-02-13,92.3686752319336,83.18911743164062,68.445068359375,80.8056411743164,91.28509521484375,109.56034088134766,91.09598541259766,100.17623901367188,75.96388244628906,103.91524505615234,97.03253173828125,55.39470291137695
2023-02-14,92.04119873046875,83.18911743164062,68.21088409423828,80.83304595947266,90.871826171875,109.09607696533203,91.0868911743164,100.17623901367188,75.8049545288086,103.58189392089844,96.80915832519531,55.15029525756836
2023-02-15,91.86338806152344,83.20726013183594,68.0610122680664,79.61827087402344,90.59945678710938,109.02030181884766,91.1141586303711,100.18535614013672,75.81431579589844,102.70219421386719,95.90641021728516,55.075096130371094
2023-02-16,91.47977447509766,83.25270080566406,67.79872131347656,78.02899932861328,90.29891204833984,108.88764953613281,91.15050506591797,100.23084259033203,75.82363891601562,101.82250213623047,94.54762268066406,54.99049758911133
2023-02-17,91.69498443603516,83.26181030273438,67.94860076904297,78.82365417480469,90.552490234375,109.09607696533203,91.15959167480469,100.23995971679688,75.88909149169922,102.38733673095703,95.28282928466797,55.112701416015625
2023-02-21,90.8342056274414,83.26181030273438,67.35848999023438,76.84162902832031,89.56629180908203,108.41394805908203,91.1777572631836,100.23995971679688,75.73951721191406,100.68352508544922,93.43080139160156,54.708492279052734
2023-02-22,91.07745361328125,83.2890625,67.50834655761719,77.9102783203125,89.7259521484375,108.5181655883789,91.1959457397461,100.26726531982422,75.77690887451172,101.26688385009766,94.28703308105469,54.7742919921875
2023-02-23,91.40492248535156,83.31631469726562,67.75190734863281,78.98805236816406,90.07350158691406,108.72660064697266,91.2322998046875,100.30367279052734,75.82363891601562,101.94286346435547,95.20840454101562,54.89650344848633
2023-02-24,90.88095092773438,83.32540893554688,67.37720489501953,77.62712097167969,89.52871704101562,108.22445678710938,91.2413558959961,100.3127670288086,75.66473388671875,100.71128845214844,93.97061157226562,54.6332893371582
