Date,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA
2015-01-02,24.347179412841797,15.425999641418457,26.381864547729492,78.1514663696289,40.23284912109375,0.48314347863197327,14.620667457580566
2015-01-05,23.661273956298828,15.10949993133545,25.87918472290039,76.8962631225586,39.86288070678711,0.4749831557273865,14.005999565124512
2015-01-06,23.663501739501953,14.76449966430664,25.240501403808594,75.86022186279297,39.277793884277344,0.4605824053287506,14.085332870483398
2015-01-07,23.995309829711914,14.920999526977539,25.166269302368164,75.86022186279297,39.776851654052734,0.45938241481781006,14.063332557678223
2015-01-08,24.917268753051758,15.02299976348877,25.25395393371582,77.88249969482422,40.946998596191406,0.476663202047348,14.041333198547363
2015-01-09,24.94399642944336,14.846500396728516,24.94556999206543,77.44417572021484,40.60282516479492,0.47858330607414246,13.77733325958252
2015-01-12,24.32935905456543,14.570500373840332,24.763233184814453,76.42805480957031,40.095184326171875,0.4725830852985382,13.480667114257812
2015-01-13,24.545364379882812,14.737000465393066,24.99937629699707,76.1590805053711,39.88869094848633,0.4718629717826843,13.616666793823242
2015-01-14,24.451841354370117,14.66349983215332,25.205129623413086,75.9897232055664,39.54452896118164,0.47378307580947876,12.845999717712402
2015-01-15,23.7882080078125,14.34749984741211,25.10947608947754,73.76821899414062,39.131526947021484,0.4704229235649109,12.791333198547363
2015-01-16,23.603370666503906,14.536999702453613,25.43081283569336,74.89391326904297,39.78543472290039,0.47906339168548584,12.871333122253418
2015-01-20,24.211326599121094,14.472000122070312,25.4049072265625,75.94987487792969,39.91449737548828,0.48050349950790405,12.795332908630371
2015-01-21,24.39616584777832,14.862500190734863,25.925518035888672,76.44795989990234,39.510101318359375,0.48722362518310547,13.104666709899902
2015-01-22,25.030839920043945,15.515999794006348,26.767961502075195,77.3545150756836,40.551212310791016,0.4956241846084595,13.441332817077637
2015-01-23,25.160009384155273,15.619500160217285,26.999624252319336,77.53382873535156,40.5942268371582,0.49706408381462097,13.419333457946777
2015-01-26,25.186729431152344,15.482999801635742,26.739070892333984,77.20508575439453,40.44794845581055,0.4949040710926056,13.770000457763672
2015-01-27,24.304861068725586,15.337499618530273,25.96537208557129,75.49163055419922,36.70516586303711,0.47114288806915283,13.732000350952148
2015-01-28,25.678876876831055,15.195500373840332,25.528955459594727,75.94987487792969,35.44036865234375,0.4634625017642975,13.291333198547363
2015-01-29,26.478361129760742,15.58899974822998,25.56881332397461,77.70317840576172,36.14590072631836,0.47474315762519836,13.680000305175781
2015-01-30,26.09086799621582,17.726499557495117,26.780420303344727,75.62113189697266,34.76063537597656,0.4608224928379059,13.573332786560059
2015-02-02,26.41822624206543,18.223499298095703,26.513885498046875,74.70462799072266,35.51780700683594,0.4709029495716095,14.062666893005371
2015-02-03,26.422679901123047,18.177499771118164,26.568687438964844,75.11307525634766,35.793128967285156,0.4826636016368866,14.557332992553711
2015-02-04,26.625328063964844,18.237499237060547,26.20998764038086,75.3421859741211,35.9996337890625,0.48386362195014954,14.569999694824219
2015-02-05,26.815372467041016,18.694499969482422,26.39581298828125,75.32228088378906,36.524471282958984,0.4917839765548706,14.732666969299316
2015-02-06,26.589563369750977,18.714000701904297,26.59758186340332,74.18661499023438,36.49005889892578,0.48962390422821045,14.490667343139648
2015-02-09,26.766185760498047,18.527999877929688,26.368412017822266,74.15673065185547,36.4470329284668,0.4891437590122223,14.498666763305664
2015-02-10,27.28040313720703,18.649999618530273,26.910446166992188,74.90386962890625,36.653541564941406,0.5028244256973267,14.419333457946777
2015-02-11,27.91982078552246,18.756999969482422,26.80283546447754,76.2188491821289,36.46425247192383,0.4994645118713379,14.186667442321777
2015-02-12,28.2730712890625,18.85849952697754,27.201892852783203,75.93991088867188,37.07514572143555,0.5352261066436768,13.525333404541016
2015-02-13,28.41168212890625,19.09149932861328,27.45846176147461,75.45177459716797,37.74626541137695,0.5354658961296082,13.584667205810547
2015-02-17,28.57935905456543,18.771499633789062,27.152070999145508,75.31231689453125,37.76359176635742,0.5371459722518921,13.623332977294922
2015-02-18,28.778352737426758,18.668500900268555,27.03449821472168,76.41808319091797,37.720272064208984,0.5309057831764221,13.630666732788086
2015-02-19,28.717979431152344,18.950000762939453,27.22381019592285,79.1177749633789,37.69427490234375,0.5323459506034851,14.11400032043457
2015-02-20,28.952733993530273,19.183000564575195,26.992151260375977,79.59595489501953,38.0062255859375,0.5361860990524292,14.473999977111816
2015-02-23,29.73525047302246,19.006999969482422,26.653377532958984,78.53997802734375,38.25752639770508,0.5318659543991089,13.822667121887207
2015-02-24,29.549673080444336,18.929500579833984,26.835222244262695,78.1514663696289,38.20552444458008,0.5375277400016785,13.607333183288574
2015-02-25,28.793994903564453,19.26849937438965,27.267654418945312,79.25724029541016,38.11886978149414,0.533431887626648,13.583999633789062
2015-02-26,29.15842628479004,19.239999771118164,27.86349105834961,80.10401916503906,38.17953109741211,0.5348775386810303,13.812666893005371
2015-02-27,28.72021484375,19.007999420166016,28.029890060424805,78.66948699951172,37.9975471496582,0.5315046310424805,13.555999755859375
2015-03-02,28.861066818237305,19.283000946044922,28.647151947021484,79.44651794433594,38.0235595703125,0.5445151329040527,13.155332565307617
2015-03-03,28.921430587768555,19.230499267578125,28.834970474243164,79.29708862304688,37.503631591796875,0.5343956351280212,13.303999900817871
2015-03-04,28.73810386657715,19.13599967956543,28.812053680419922,80.59214782714844,37.31298828125,0.5404192209243774,13.496000289916992
2015-03-05,28.26188850402832,19.39150047302246,28.966495513916016,80.90096282958984,37.3563346862793,0.5507795214653015,13.375332832336426
